SÕNA,DEFINITSIOON,TASE
algkool,"üldharidusliku ühtluskooli esimene aste, mis annab õpilastele alghariduse",B1
algul,ajaliselt millegi esimestel hetkedel,B1
algus,sissejuhatav osa,A1
alistama,kellegi või millegi vastupanu murdma,B2
alistuma,"alla andma, vastupanust loobuma",B2
alla,maapinna või mingi muu aluspinna suunas või selle lähedale,A1
allakäik,vaimsete ja kehaliste võimete halvenemine,B2
allapoole,tasemelt madalamaks,B1
allergia,"organismi tavalisest erinev tundlikkus, harilikult ülitundlikkus mõnede ainete suhtes",B1
alles,väljendab hiljutist ajahetke,B1
allikas,"koht, kust miski lähtub, kust lähtutakse",B1
allpool,määralt või tasemelt madalamal astmel,B1
alluma,"millegi mõjule, toimele aldis olema",B1
alluvus,ametialase või administratiivse allumise seisund,B2
alpaka,"nikli, vase ja tsingi sulam",B2
alt,"eest kõrvale, eest ära",A2
altar,"lauda meenutav harilikult kaunistatud pealmikuga alus, mille ääres toimetatakse usutalitusi",B2
althõlma,"salaja, midagi varjata püüdes",C1
altkäemaks,ametiisikule mingi ametialase teo toimepanemise või tegemata jätmise eest antav raha või muu hüvis,B2
altpoolt,"piltlik väljend: millegi või kellegi pealpool, kõrgemal asuva suhtes madalamalt",B1
alustass,väike taldrik tassi,B1
amet,"ülesannete kompleks, mida isik täidab oma töökohal ja mille eest ta saab tasu",A2
ametlik,"ametivõimude või ametiisiku poolt ettenähtud, kinnitatud, kehtestatud, nende väljaantud või avaldatud, nende poolt kehtestatud korrale vastav",B1
ametlikult,jahedalt asjalikult,B1
ammendama,"täielikult ära kulutama, lõpuni ära kasutama",B2
ammenduma,ammendatud saama,B2
ammu,"ajamomendil suhteliselt palju või pikka aega tagasi, kaua aja eest",A2
ammutama,suuremast hulgast ainest vähemat hulka millegagi,B2
analüüsima,"analüüsi rakendama, osadeks lahutama",B1
anarhia,valitsuse või seadusliku võimu puudumine,B2
anatoomia,organismi ja selle elundite ehitust uuriv teadus,B2
and,"see, mida keegi või miski annab, pakub",C1
andma,kellegi kätte või kättesaadavusse TOIMETAMA,A1
andmed,"informatsioon kellegi või millegi kohta, faktid, mida kellegi või millegi kohta teada saadakse või teatakse",A2
anekdoot,lühike koomilise või pikantse sisuga ning üllatusliku lõpuga looke,B1
angerjas,madujas peene soomusega vääriskala,B1
ankur,"vahend laeva, paadi, poi või muu sellise paigal hoidmiseks vabas vees",B2
annetama,"millegi heaks, heategevaks otstarbeks",B2
anonüümne,"oma nime mitteavaldanud, nime varjav",B2
anonüümsus,"oma nime mitteavaldanud, nime varjav",B2
anum,"miski, milles hoitakse asju, eriti säilitamise või transpordi otstarbel",B2
aparaat,seadmestik konkreetse ülesande või funktsiooni täitmiseks,B2
apelsin,apelsinipuu mahlakas ning aromaatne oranš vili,A1
apelsinimahl,apelsinist valmistatud mahl,A2
apteek,"asutus ravimite valmistamiseks retsepti järgi, samuti ravimite ja teised meditsiinikaupade müügiks",B1
arendama,"täiuslikumaks, kvaliteetsemaks muutma, kõrgemale tasemele viima, teatud astmeni või eesmärgini või lõpuni arendama",B1
arenema,"kindla seesmise tendentsiga muutuma, harilikult progressina, tõusujoones, madalamalt kõrgemale, lihtsamalt keerukamale ja nii edasi",B1
aretama,uusi sorte või tõugusid looma või olemasolevaid parandama,B2
argument,"otsustus või otsustuste süsteem tõestusvahendina, põhjendina",B2
arheoloogiline,"arheoloogiaga seotud, seda käsitlev või uuriv, sellel põhinev jne",B2
arhitektuur,"inimeste eluks ja tegutsemiseks vajalikku ruumilist keskkonda kujundav, ehitisi ja muu rajatisi planeeriv ning projekteeriv looming",B2
armastama,"armastust tundma kellegi või millegi vastu, kedagi või midagi kalliks pidama",A1
armastus,eriline huvi millegi vastu,A1
armuma,"kiinduma, kedagi armastama hakkama",B1
aroom,lõhn,B2
arsenal,kasutada olevate erivahendite varu või kogu,B2
arst,"kõrgema meditsiinilise haridusega isik, kellele on antud õigus oma kutsealal töötada",A1
aruanne,"ametlik ettekanne töötulemustest, ettenähtud tegevusest, ülesannete täitmisest jne",B1
arusaam,"abstraktne või üldine idee, mis põhineb üksikjuhtumitel või -faktidel",B1
arutama,läbi või järele mõtlema,A2
arutus,kindel arusaamine mingis asjas,B2
arv,kvantiteeti väljendav üks matemaatika põhimõisteid,A1
arvama,"teatud seisukohal, veendumusel, arvamusel olema, tõenäoseks või usutavaks pidama",A1
arvamus,suhtumislaad kellegi suhtes,A2
arve,"arvestamine, registreerimine, kokkuvõtete tegemine",A2
arvel,"nimestikus, registris",B2
arveldus,"rahaliste kohustuste õiendamine ettevõtete, asutuste, organisatsioonide ja üksikisikute vahel",C1
arvestama,sel viisil tulemuseni jõudma,B1
arvestus,millegi hoolikas planeerimine,B1
arvukalt,rohkel arvul esinevalt,B2
arvukus,"liigi isendite hulk, üldarv kogu levila ulatuses või selle teatud osas",B2
arvustama,"negatiivset hinnangut andma, vigu, puudusi või muu esile tooma",B2
aseesimees,esimehe asetäitja,B2
asemel,"asendajana, kellegi või millegi kohal, paigal",B1
asemele,"asendajaks, kellegi või millegi kohale, paigale",B1
asendama,olemasolevat asja või nähtust uuega asendama,B1
asendamatu,"selline, keda või mida on raske asendada, keda või mida võib hädasti tarvis minna",B2
asetama,"kuhugi või teatud nõutavasse, vajalikku ja nii edasi asendisse panema, paigutama või seadma, ka millegi abstraktse kohta",B1
asi,konkreetselt nimetamata objekt,A1
asjaolu,"asja, küsimuse teatud külg",B1
asjaosaline,"asjaga seotu, milleski osaleja",C1
asjatundja,"inimene, kellel on eriteadmised või oskused mingil alal",B1
aspekt,"vaatekoht, seisukoht, millest lähtudes midagi hinnatakse",B2
aste,"millegi või kellegi suhteline intensiivsus, hulk, kvaliteet või muu sellise konkreetsel ajal konkreetses kohas",B1
astmeline,"väikestes etappides, osakaupa toimuv",B2
astroloog,taevatähtede järgi ennustaja,B2
astronaut,kosmoselendur,B2
astuma,"ühe, paari, mõne sammu võrra kuhugipoole liikuma",B1
asukoht,"koht, kus miski või keegi asub",B1
asula,asustatud koht,B2
asum,linna kindlapiiriline osa,B2
asuma,"mingi tegevuse juurde asuma, mingit tegevust alustama",A1
asustama,"teatud ala, kohta elanikega, asukatega täitma",B2
asustus,teatud maa-ala rahvastik ja asulastik,B2
asutama,"valmis seadma, valmistuma, ettevalmistusi tegema",B1
atesteerima,atestatsiooni andma,B2
atleet,sportlane,B2
atmosfäär,"ümbritsev gaasikiht, õhkkond",B2
au,"lugupidamist, austust äratav isik, tegevus, nähtus või muu sellise",B1
auaste,"sõjaväelasele või ametiisikule tema teenistusalasest ettevalmistusest, staažist, teenetest ja nii edasi olenevalt antav nimetus",B2
auhind,"saavutuste eest tunnustuseks antav ese, rahasumma, tunnistus, aumärk või muu sellise",B1
auk,asjade sees või vahel olev süvend või tühimik,A2
aumärk,eriliste teenete eest antav märk,B2
aus,"nii iseloomustatakse inimest, kes on oma suhtumises, käitumises, tegevuses ja nii edasi tõest ja õiglusest juhinduv, ebaõiglust, pettust mittesalliv",A2
ausalt,"tõest ja õiglusest juhinduval viisil, seda tehtut tõesel moel kinnitades",A2
austama,"kellessegi või millessegi austuse, lugupidamise või aukartusega suhtuma, au sees pidama",B1
ausõna,"oma au nimel antud kinnitus, tõotus, lubadus või muu sellise",B2
autasu,"eriti hinnatavate saavutuste või teenete eest määratud materiaalne tasu, aumärk või muu sellise tunnustus",B2
autasustama,"mingi auhinna vääriliseks tunnistama, autasu andma",B2
auto,mootorveok või -sõiduk veoste või inimeste transportimiseks maanteedel või tänavail,A1
autogramm,omakäeline oma nime kirjutus,B2
autojuht,"inimene, kes teenib raha autojuhtimisega",A2
automaat,"seade või seadmete kogum, mis iseseisvalt, inimese vahetu osavõtuta sooritab teatud operatsioonide kompleksi",B1
autor,kirjandus- või kunstiteose looja,A2
autoriteet,võime mõjuda või mõjutada,B2
auväärne,"lugupeetav, austamist vääriv",B2
avaldama,"trükis, veebis vm viisil ilmutama, avalikult kättesaadavaks tegema",B1
avalduma,"märgatavaks saama, avalikkuse ette jõudma",B1
avaldus,"dokument, millega kodanik pöördub ametiasutuse või -isiku poole",A2
avalik,"ühiskondlikku või halduslikku sfääri kuuluv, sellesse puutuv või seda haarav",B1
avalikkus,"inimesed, laiemad inimeste hulgad, rahvas, üldsus",B2
avalikult,"avalikkuse ees, inimeste nähes või kuuldes",B1
avama,"midagi avatseremooniaga, avakõnega alustama",A2
avamine,"midagi kinnisest, suletud olekust lahtisesse olekusse viimine",B1
avanema,suletud seisundist avatud seisundisse minema,B1
avarii,"õnnetus, kus saab kannatada liiklusvahend, reisijad või veos",A2
avarus,"avar või ääretu ruum, laiuv lagendik",B2
baar,"väike restoran või kohvik , sageli kõrge müügileti ja pukkistmetega",A2
baas,millegi aluseks olevad materiaalsed väärtused või tingimused,B2
ball,suur pidulik tantsuõhtu,B2
bankett,kellegi või millegi auks korraldatud pidusöök,B2
barjäär,"võre, poolsein, madalavõitu vahesein või muu sellise",B2
baseeruma,paiknema,B2
bass,"kontrabass, tuuba või muu orkestripill madalaima häälepartii esitamiseks",B2
biograafia,kellegi elukäigu ja tegevuse käsitlus,B2
